Time,Count,Accel X (g),Accel Y (g),Accel Z (g),Gyro X (dps),Gyro Y (dps),Gyro Z (dps)
0.637000024,68,-0.0036,-0.222100005,4.843299866,0.122000001,-0.061000001,-0.182899997
0.640999973,69,-0.0036,-0.222100005,4.843299866,0.122000001,-0.061000001,-0.182899997
0.65200001,70,0.0006,-0.234099999,4.837900162,0.122000001,-0.061000001,-0.182899997
0.653999984,71,0.0006,-0.234099999,4.837900162,0.122000001,-0.061000001,-0.182899997
0.665000021,72,0.0024,-0.240099996,4.837299824,0.182899997,-0.061000001,-0.182899997
0.666999996,73,0.0024,-0.240099996,4.837299824,0.182899997,-0.061000001,-0.182899997
0.685000002,74,0.0024,-0.237100005,4.838500023,0.182899997,-0.061000001,-0.182899997
0.68900001,75,0.0024,-0.237100005,4.838500023,0.182899997,-0.061000001,-0.182899997
0.699999988,76,-0.0072,-0.227500007,4.839700222,0.182899997,-0.061000001,-0.182899997
0.703999996,77,-0.0072,-0.227500007,4.839700222,0.182899997,-0.061000001,-0.182899997
0.716000021,78,-0.009,-0.225099996,4.83370018,0.182899997,-0.061000001,-0.182899997
0.720000029,79,-0.009,-0.225099996,4.83370018,0.182899997,-0.061000001,-0.182899997
0.735000014,80,-0.0006,-0.231099993,4.820000172,0.182899997,-0.061000001,-0.182899997
0.744000018,81,0.0108,-0.228100002,4.812799931,0.243900001,-0.061000001,-0.182899997
0.748000026,82,0.0108,-0.228100002,4.812799931,0.243900001,-0.061000001,-0.182899997
0.762000024,83,0.0042,-0.222100005,4.814599991,0.304899991,-0.061000001,-0.182899997
0.769999981,84,-0.0138,-0.219099998,4.829599857,0.304899991,-0.122000001,-0.182899997
0.773999989,85,-0.0138,-0.219099998,4.829599857,0.304899991,-0.122000001,-0.182899997
0.790000021,86,-0.0138,-0.219099998,4.829599857,0.304899991,-0.122000001,-0.182899997
0.797999978,87,-0.021600001,-0.209000006,4.846899986,0.304899991,-0.122000001,-0.182899997
0.805999994,88,-0.028100001,-0.187999994,4.864299774,0.365799993,-0.182899997,-0.182899997
0.810000002,89,-0.028100001,-0.187999994,4.864299774,0.365799993,-0.182899997,-0.182899997
0.825999975,90,-0.0359,-0.1664,4.885200024,0.426800013,-0.182899997,-0.182899997
0.833999991,91,-0.040100001,-0.141299993,4.90320015,0.426800013,-0.243900001,-0.182899997
0.838,92,-0.040100001,-0.141299993,4.90320015,0.426800013,-0.243900001,-0.182899997
0.855000019,93,-0.0449,-0.107799999,4.921199799,0.426800013,-0.243900001,-0.182899997
0.862999976,94,-0.043099999,-0.0832,4.924200058,0.426800013,-0.243900001,-0.122000001
0.866999984,95,-0.043099999,-0.0832,4.924200058,0.426800013,-0.243900001,-0.122000001
0.88499999,96,-0.029300001,-0.069499999,4.909200191,0.426800013,-0.243900001,-0.182899997
0.893000007,97,-0.0132,-0.063500002,4.895400047,0.365799993,-0.182899997,-0.182899997
0.897000015,98,-0.0132,-0.063500002,4.895400047,0.365799993,-0.182899997,-0.182899997
0.915000021,99,-0.009,-0.066500001,4.889400005,0.304899991,-0.182899997,-0.182899997
0.924000025,100,-0.012,-0.077200003,4.902599812,0.243900001,-0.182899997,-0.182899997
0.927999973,101,-0.012,-0.077200003,4.902599812,0.243900001,-0.182899997,-0.182899997
0.944999993,102,-0.0174,-0.097599998,4.915200233,0.243900001,-0.182899997,-0.182899997
0.953000009,103,-0.017999999,-0.118000001,4.922399998,0.182899997,-0.182899997,-0.182899997
0.957000017,104,-0.017999999,-0.118000001,4.922399998,0.182899997,-0.182899997,-0.182899997
0.975000024,105,-0.019200001,-0.140100002,4.924799919,0.182899997,-0.182899997,-0.182899997
0.98299998,106,-0.0174,-0.1611,4.926000118,0.243900001,-0.182899997,-0.182899997
0.986999989,107,-0.0174,-0.1611,4.926000118,0.243900001,-0.182899997,-0.182899997
1.004999995,108,-0.0126,-0.185599998,4.928999901,0.243900001,-0.182899997,-0.243900001
1.014000058,109,-0.0066,-0.216800004,4.917600155,0.243900001,-0.182899997,-0.243900001
1.018000007,110,-0.0066,-0.216800004,4.917600155,0.243900001,-0.182899997,-0.243900001
1.027999997,111,-0.0096,-0.2491,4.914000034,0.243900001,-0.182899997,-0.243900001
1.031000018,112,-0.0096,-0.2491,4.914000034,0.243900001,-0.182899997,-0.243900001
1.044999957,113,-0.0096,-0.271800011,4.916999817,0.304899991,-0.243900001,-0.243900001
1.049000025,114,-0.0096,-0.271800011,4.916999817,0.304899991,-0.243900001,-0.243900001
1.065000057,115,-0.009,-0.283800006,4.922399998,0.365799993,-0.243900001,-0.243900001
1.072999954,116,-0.009,-0.292199999,4.9302001,0.426800013,-0.243900001,-0.243900001
