Time,Count,Accel X (g),Accel Y (g),Accel Z (g),Gyro X (dps),Gyro Y (dps),Gyro Z (dps)
0.675999999,83,0.0006,-0.0012,4.914599895,-0.061000001,-0.061000001,-0.061000001
0.685000002,84,0.0012,-0.0036,4.910999775,0,-0.061000001,0
0.68900001,85,0.0012,-0.0036,4.910999775,0,-0.061000001,0
0.70599997,86,0.0012,-0.0036,4.910999775,0,-0.061000001,0
0.714999974,87,-0.0018,-0.0042,4.903800011,0,-0.061000001,0
0.718999982,88,-0.0018,-0.0042,4.903800011,0,-0.061000001,0
0.726000011,89,-0.0018,-0.0042,4.903800011,0,-0.061000001,0
0.734000027,90,-0.0036,-0.0072,4.906799793,-0.061000001,-0.061000001,0
0.737999976,91,-0.0036,-0.0072,4.906799793,-0.061000001,-0.061000001,0
0.745999992,92,-0.0036,-0.0072,4.906799793,-0.061000001,-0.061000001,0
0.75,93,-0.0036,-0.0072,4.906799793,-0.061000001,-0.061000001,0
0.754000008,94,-0.0036,-0.0072,4.906799793,-0.061000001,-0.061000001,0
0.763999999,95,-0.0042,-0.0042,4.915800095,-0.061000001,-0.061000001,0
0.768000007,96,-0.0042,-0.0042,4.915800095,-0.061000001,-0.061000001,0
0.773999989,97,-0.0042,-0.0042,4.915800095,-0.061000001,-0.061000001,0
0.777999997,98,-0.0042,-0.0042,4.915800095,-0.061000001,-0.061000001,0
0.787999988,99,0,-0.003,4.906199932,0,-0.061000001,0
0.791999996,100,0,-0.003,4.906199932,0,-0.061000001,0
0.796999991,101,0,-0.003,4.906199932,0,-0.061000001,0
0.802999973,102,0,-0.003,4.906199932,0,-0.061000001,0
0.811999977,103,-0.0012,-0.0042,4.90320015,0,-0.061000001,-0.061000001
0.81400001,104,-0.0012,-0.0042,4.90320015,0,-0.061000001,-0.061000001
0.819999993,105,-0.0012,-0.0042,4.90320015,0,-0.061000001,-0.061000001
0.825999975,106,-0.0012,-0.0042,4.90320015,0,-0.061000001,-0.061000001
0.833999991,107,-0.006,-0.0072,4.89659977,-0.061000001,-0.061000001,0
0.838,108,-0.006,-0.0072,4.89659977,-0.061000001,-0.061000001,0
0.846000016,109,-0.006,-0.0072,4.89659977,-0.061000001,-0.061000001,0
0.850000024,110,-0.006,-0.0072,4.89659977,-0.061000001,-0.061000001,0
0.853999972,111,-0.006,-0.0072,4.89659977,-0.061000001,-0.061000001,0
0.864000022,112,-0.0042,-0.0084,4.901400089,-0.061000001,-0.061000001,0
0.866999984,113,-0.0042,-0.0084,4.901400089,-0.061000001,-0.061000001,0
0.875999987,114,-0.0042,-0.0084,4.901400089,-0.061000001,-0.061000001,0
0.88499999,115,-0.003,-0.009,4.910399914,-0.061000001,-0.061000001,0
0.888999999,116,-0.003,-0.009,4.910399914,-0.061000001,-0.061000001,0
0.896000028,117,-0.003,-0.009,4.910399914,-0.061000001,-0.061000001,0
0.899999976,118,-0.003,-0.009,4.910399914,-0.061000001,-0.061000001,0
0.912,119,0.0012,-0.0078,4.909200191,-0.061000001,-0.061000001,-0.061000001
0.916000009,120,0.0012,-0.0078,4.909200191,-0.061000001,-0.061000001,-0.061000001
0.925999999,121,0.0012,-0.0078,4.909200191,-0.061000001,-0.061000001,-0.061000001
0.935000002,122,0.003,-0.012,4.900800228,0,-0.061000001,0
0.93900001,123,0.003,-0.012,4.900800228,0,-0.061000001,0
0.944999993,124,0.003,-0.012,4.900800228,0,-0.061000001,0
0.953999996,125,0.003,-0.012,4.900800228,0,-0.061000001,0
0.962000012,126,0.0012,-0.0084,4.89659977,-0.061000001,-0.061000001,0
0.966000021,127,0.0012,-0.0084,4.89659977,-0.061000001,-0.061000001,0
0.971000016,128,0.0012,-0.0084,4.89659977,-0.061000001,-0.061000001,0
0.975000024,129,0.0012,-0.0084,4.89659977,-0.061000001,-0.061000001,0
0.985000014,130,0,-0.006,4.90500021,-0.061000001,-0.061000001,0
0.989000022,131,0,-0.006,4.90500021,-0.061000001,-0.061000001,0
